lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment
042,allyl chloride-ethylene,0,0.0,10
094,ethylene-none,7,0.022435897435897436,311
008,allyl methyl ether-ethylene,0,0.0,1
167,NB-CH2OH-ethylene,5,1.0,6
179,allyl acetate-propylene,3,0.75,3
404,ethyl vinyl ether-ethylene,3,1.0,2
210,2-vinylfuran-ethylene,5,0.7142857142857143,6
033,R-Br-R-SH,0,0.0,4
422,diallyl ether-ethylene,0,0.0,4
047,allyl methyl ether-ethylene,0,0.0,1
438,allyl methyl ether-ethylene,0,0.0,1
282,diallyl ether-ethylene,4,0.8,6
431,allyl cyanide-propylene,0,0.0,2
443,ethylene-styrene,5,1.0,6
056,4-penten-1-ol-ethylene,0,0.0,1
133,CH2CH(CH2)4OH-norbonene,4,0.5714285714285714,12
197,dodecyl acrylate-ethylene,2,1.0,1
355,ethyl acrylate-ethylene,2,0.5,3
397,FOA-ethylene,2,0.6666666666666666,2
239,ethylene-styrene,3,1.0,2
200,butyl acrylate-ethylene,12,0.9230769230769231,12
144,PhI-norbonene,0,0.0,12
107,1-butene-none,4,1.0,4
181,6FA-ethylene,4,1.0,3
197,5-hexene-1-yl-acetate-ethylene,4,1.0,3
457,CH2CH(CH2)9Br-ethylene,0,0.0,2
408,allyl methyl ether-ethylene,6,0.6,9
120,NB-OCOMe-ethylene,2,1.0,1
267,R-BOH2-R-OH,0,0.0,32
358,"(E)-1,3-diphenylprop-3-en-1-yl acetate-dimethylmalonate",0,0.0,10
271,ethylene-vinyl chloride,6,0.8571428571428571,10
197,ethylene-n-butyl vinyl ether,3,1.0,2
210,PhI-norbonene,0,0.0,3
138,ethylene-isobornyl acrylate,3,1.0,2
090,allyl pivalate-ethylene,4,0.8,4
353,6FA-ethylene,4,1.0,3
075,2-vinylfuran-ethylene,5,0.7142857142857143,6
008,dodecyl acrylate-ethylene,0,0.0,1
053,allyl cyanide-propylene,0,0.0,2
181,ethylene-tert-butyl-10-undecenoate,2,1.0,1
294,ethylene-ethylene glycol monoacrylate,7,0.7777777777777778,18
343,Aryl halide-Phenylboronic acid,0,0.0,10
191,"5-norbonene-2,3-dicarboxylic anhydride-ethylene",0,0.0,1
231,H2-oct-1-ene,0,0.0,6
403,R-Br-R-C=C,0,0.0,16
008,5-hexene-1-yl-acetate-ethylene,0,0.0,3
353,ethylene-tert-butyl-10-undecenoate,2,1.0,1
120,R-Br-R-SH,0,0.0,4
184,C-H-R-Br,0,0.0,1
