lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster
403,CO_nonalt-ethylene,9,0.4090909090909091,57,3,2,1.5,46,5,230
338,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
441,CO_nonalt-ethylene,9,0.4090909090909091,57,6,2,3.0,51,5,255
283,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
042,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
192,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
017,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
329,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,27,5,135
352,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
088,CO_nonalt-ethylene,0,0.0,38,2,2,1.0,44,5,220
191,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
384,CO_nonalt-ethylene,6,0.3,19,2,2,1.0,44,5,220
322,CO_nonalt-ethylene,2,0.1,19,5,2,2.5,27,5,135
105,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
282,CO_nonalt-ethylene,6,0.2857142857142857,38,2,2,1.0,44,5,220
344,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
278,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
073,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
370,CO_nonalt-ethylene,6,0.3,19,6,2,3.0,51,5,255
452,CO_nonalt-ethylene,0,0.0,0,3,2,1.5,46,5,230
369,CO_nonalt-ethylene,8,0.36363636363636365,57,2,2,1.0,44,5,220
357,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
356,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
450,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
217,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
314,CO_nonalt-ethylene,6,0.2608695652173913,76,3,2,1.5,46,5,230
171,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,53,5,265
242,CO_nonalt-ethylene,0,0.0,133,6,2,3.0,51,5,255
157,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
404,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
359,CO_nonalt-ethylene,5,0.25,19,5,2,2.5,53,5,265
059,CO_nonalt-ethylene,0,0.0,19,2,2,1.0,44,5,220
079,CO_nonalt-ethylene,6,0.3,19,5,2,2.5,27,5,135
300,CO_nonalt-ethylene,0,0.0,0,2,2,1.0,44,5,220
413,CO_nonalt-ethylene,0,0.0,19,5,2,2.5,27,5,135
252,CO_nonalt-ethylene,8,0.36363636363636365,57,5,2,2.5,53,5,265
349,CO_nonalt-ethylene,9,0.36,114,3,2,1.5,46,5,230
287,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
408,CO_nonalt-ethylene,11,0.44,114,6,2,3.0,51,5,255
281,CO_nonalt-ethylene,10,0.37037037037037035,152,2,2,1.0,44,5,220
310,CO_nonalt-ethylene,2,0.08333333333333333,95,5,2,2.5,53,5,265
137,CO_nonalt-ethylene,9,0.4090909090909091,57,6,2,3.0,51,5,255
422,CO_nonalt-ethylene,0,0.0,19,6,2,3.0,51,5,255
366,CO_nonalt-ethylene,6,0.3,19,3,2,1.5,46,5,230
140,CO_nonalt-ethylene,5,0.25,19,6,2,3.0,51,5,255
202,CO_nonalt-ethylene,0,0.0,0,5,2,2.5,53,5,265
365,CO_nonalt-ethylene,8,0.38095238095238093,38,3,2,1.5,46,5,230
409,CO_nonalt-ethylene,11,0.44,114,2,2,1.0,44,5,220
