lig_id,ligand_name,exp_id,ref,substrate_comb,metal,substrate_1,substrate_2,solvent,temperature,"substrate_1_amount (gas: bar, liqu: mmol, solid: g)",substrate_2_amount,base,base_equiv_to_cat,additive,additive_equiv,substrate_ratio,volume_ml,activity_kg_mol,yield,mn,time_hr,incorporatio_ratio,ton
53,p-c-18,105,"Synlett 2006, No. 8, 1193–1196",PhInorbonene,Pd,PhI,norbonene,DMSO,120,1,3.4,NEt3,760,"tBuOK,HCOOH","1,600",0.29,5,,91,,2,,
54,p-c-19,106,"Synlett 2006, No. 8, 1193–1196",PhInorbonene,Pd,PhI,norbonene,DMSO,120,1,3.4,NEt3,760,tBuOK,"1,600",0.29,5,,95,,2,,
55,p-c-20,107,"Synlett 2006, No. 8, 1193–1196",PhInorbonene,Pd,PhI,norbonene,DMSO,120,1,3.4,NEt3,760,tBuOK,"1,600",0.29,5,,89,,2,,
54,p-c-19,108,"Synlett 2006, No. 8, 1193–1196",PhInorbonene,Pd,PhI,norbonene,DMF,120,1,3.4,NEt3,760,tBuOK,"1,600",0.29,5,,87,,,,
54,p-c-19,109,"Synlett 2006, No. 8, 1193–1196",PhInorbonene,Pd,PhI,norbonene,DMAc,120,1,3.4,NEt3,760,tBuOK,"1,600",0.29,5,,84,,,,
54,p-c-19,110,"Synlett 2006, No. 8, 1193–1196",PhInorbonene,Pd,PhI,norbonene,toluene,120,1,3.4,NEt3,760,tBuOK,"1,600",0.29,5,,71,,,,
54,p-c-19,111,"Synlett 2006, No. 8, 1193–1196",PhInorbonene,Pd,PhI,norbonene,MeCN,120,1,3.4,NEt3,760,tBuOK,"1,600",0.29,5,,70,,,,
54,p-c-19,112,"Synlett 2006, No. 8, 1193–1196",PhInorbonene,Pd,PhI,norbonene,DMSO,120,1,3.4,i-Pr2NEt,760,tBuOK,"1,600",0.29,5,,87,,,,
54,p-c-19,113,"Synlett 2006, No. 8, 1193–1196",PhInorbonene,Pd,PhI,norbonene,DMSO,120,1,3.4,HCO2NH4,760,tBuOK,"1,600",0.29,5,,71,,,,
56,p-c-21,114,Journal of Organometallic Chemistry 690 (2005) 5822–5831,"(E)-1,3-diphenylprop-3-en-1-yl acetatedimethylmalonate",Pd,"(E)-1,3-diphenylprop-3-en-1-yl acetate",dimethylmalonate,dcm,25,0.2,0.6,,,"BSA,KOAc","116,0.8",0.333,1,,98,,5,,
57,p-c-22,115,Journal of Organometallic Chemistry 690 (2005) 5822–5831,"(E)-1,3-diphenylprop-3-en-1-yl acetatedimethylmalonate",Pd,"(E)-1,3-diphenylprop-3-en-1-yl acetate",dimethylmalonate,dcm,25,0.2,0.6,,,"BSA,KOAc","116,0.8",0.333,1,,70,,5,,
58,p-c-23,116,Journal of Organometallic Chemistry 690 (2005) 5822–5831,"(E)-1,3-diphenylprop-3-en-1-yl acetatedimethylmalonate",Pd,"(E)-1,3-diphenylprop-3-en-1-yl acetate",dimethylmalonate,dcm,25,0.2,0.6,,,"BSA,KOAc","116,0.8",0.333,1,,98,,5,,
59,p-c-24,117,Journal of Organometallic Chemistry 690 (2005) 5822–5831,"(E)-1,3-diphenylprop-3-en-1-yl acetatedimethylmalonate",Pd,"(E)-1,3-diphenylprop-3-en-1-yl acetate",dimethylmalonate,dcm,25,0.2,0.6,,,"BSA,KOAc","116,0.8",0.333,1,,64,,5,,
60,p-c-25,118,Journal of Organometallic Chemistry 690 (2005) 5822–5831,"(E)-1,3-diphenylprop-3-en-1-yl acetatedimethylmalonate",Pd,"(E)-1,3-diphenylprop-3-en-1-yl acetate",dimethylmalonate,dcm,25,0.2,0.6,,,"BSA,KOAc","116,0.8",0.333,1,,98,,5,,
61,p-c-26,119,Journal of Organometallic Chemistry 690 (2005) 5822–5831,"(E)-1,3-diphenylprop-3-en-1-yl acetatedimethylmalonate",Pd,"(E)-1,3-diphenylprop-3-en-1-yl acetate",dimethylmalonate,dcm,25,0.2,0.6,,,"BSA,KOAc","116,0.8",0.333,1,,97,,5,,
