lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
277,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,C(/C1=N/C2=CC=CC3=C2C(C4=CC=CC=C4)=CC=C3)(C5=C6C(C=CC=C61)=CC=C5)=N\C7=C(C=CC=C8C9=CC=CC=C9)C8=CC=C7,n-n-24
302,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P2N(C3=C([H])C=C([H])C=C3C)CCN2C4=C(C)C=C([H])C=C4[H])(O)=O,p-o-114
455,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,CC(/C(C)=N/C1=C(C2=CC=C(C(C)(C)C)C=C2)C=CC=C1C3=CC=C(C(C)(C)C)C=C3)=N\C4=C(C5=CC=C(C(C)(C)C)C=C5)C=CC=C4C6=CC=C(C(C)(C)C)C=C6,n-n-22
292,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,p-o-104
287,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(C(C)C)C(C)C,p-o-99
284,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(OCC)(OCC)C1=CC=C(C)C=C1P(C(C)C)C(C)C,p-o-92
352,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,OS(C1=CC=CC=C1P(C2=C(C3=CC=CS3)C=CC=C2)C4=CC=CC=C4)(=O)=O,p-o-131
273,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3P(C4=CC=CC=C4)C5=CC=CC=C5,p-o-82
283,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(OCC)(OCC)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-90
301,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P2N(C3=C([H])C=C([H])C=C3[H])CCN2C4=C([H])C=C([H])C=C4[H])(O)=O,p-o-113
297,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P(C2CCCCC2)C3CCCCC3)(N(C4CCCCC4)C5CCCCC5)=O,p-o-109
341,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,OS(C1=CC(C)=CC=C1CP(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3)(=O)=O,p-o-126
263,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(C(C)(C)C)(C(C)(C)C)CP(C(C)C)C(C)C,p-o-74
98,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,[*]C1=C(C2=CC=CC=C2)C=CC=C1,p-o-24
182,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,[O]C1=C(/C([H])=N/C2=C(C(C)C)C=CC=C2C(C)C)C=CC=C1C3=CC=CC(/C=N/C4=C(C(C)C)C=CC=C4C(C)C)=C3O,n-o-33
298,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P(C(C)C)C(C)C)(N(C2CCCCC2)C3CCCCC3)=O,p-o-110
392,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P(C2=CC=CC=C2OC)C3=C(OC)C=CC=C3)(NC4=CC=CC=C4)=O,p-o-135
111,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,[O]S(C1=CC=CC=C1P(C2=CC=CC=C2OC3=C(C)C=CC=C3C)C4=CC=CC=C4)(=O)=O,p-o-37
250,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)C1)(C(C)(C)C)C(C)(C)C,c-o-6
291,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(N(CC)CC)(N(CC)CC)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,p-o-103
110,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,[O]S(C1=CC=CC=C1P(C2=CC=CC=C2OC3=CC=CC=C3)C4=CC=CC=C4)(=O)=O,p-o-36
393,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P(C2=CC=CC=C2OC)C3=C(OC)C=CC=C3)(NC4=C(C(C)C)C=CC=C4C(C)C)=O,p-o-136
249,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC2=CN(C3=C(CC4=CC=CC=C4)C=C(C)C=C3CC5=CC=CC=C5)CN21,c-o-5
247,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S([N-]C1=CC=CC2=C1N3C(C=C2)=CN(C4=C(C(C)C)C=CC=C4C(C)C)C3)(C)=O,c-n-9
262,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(C(C)(C)C)(C(C)(C)C)CP(C1=C(C(F)(F)F)C=CC=C1)C2=CC=CC=C2C(F)(F)F,p-o-73
391,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,CC1=CC=CC=C1P(C2=CC=CC=C2C)CC3=CC=CC(C4=C(C)C=C(C)C=C4C)=N3,p-n-27
348,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,CC(/C(C)=N/C1=C(C(C)C)C=C(N(C)C)C=C1C(C)C)=N\C2=C(C(C)C)C=C(N(C)C)C=C2C(C)C,n-n-53
286,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(N(C)C)(N(C)C)C1=CC=CC=C1P(C(C)C)C(C)C,p-o-98
288,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(CCCCC)CCCCC,p-o-100
406,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,C/C(OP(C(C)(C)C)C(C)(C)C)=N\C1=C(C(C)C)C=CC=C1C(C)C,p-n-33
300,CO_nonalt-ethylene,7,0.35,19,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P(C(C)C)C(C)C)(N(C)C)=O,p-o-112
253,CO_nonalt-ethylene,3,0.15,19,17,2,8.5,58,3,174,OS(C1=CC=CC=C1P(C(CC)CC)C(CC)CC)(=O)=O,p-o-68
354,CO_nonalt-ethylene,3,0.15,19,17,2,8.5,58,3,174,OC1=C(OCCOC)C=CC2=C1N3C(C=C2)=CN(C4=C(C(C)C)C=CC=C4C(C)C)C3,c-o-11
271,CO_nonalt-ethylene,3,0.15,19,17,2,8.5,58,3,174,O=P(C(C)C)(C(C)C)C1=CC=CC=C1P(C2=CC=CC=C2C(F)(F)F)C3=C(C(F)(F)F)C=CC=C3,p-o-80
108,CO_nonalt-ethylene,3,0.15,19,17,2,8.5,58,3,174,[O]C1=C(P(C2=CC=CC=C2C3=CC=CC=C3)C4=CC=CC=C4)C=CC5=C1C=CC=C5,p-o-34
136,CO_nonalt-ethylene,3,0.15,19,17,2,8.5,58,3,174,[O]C(C(C(F)(F)F)=CC=C1)=C1P(C2=CC=CC=C2C3=C(OC)C=CC=C3OC)C4=CC=CC=C4,p-o-39
282,CO_nonalt-ethylene,3,0.15,19,17,2,8.5,58,3,174,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3P(C4=C(OC)C=CC=C4)C5=C(OC)C=CC=C5,p-o-89
138,CO_nonalt-ethylene,3,0.15,19,17,2,8.5,58,3,174,O=[P](C1=C(OC)C=CC=C1)C2=CC=CC=C2P(C3=C(OC)C=CC=C3)C4=CC=CC=C4OC,p-o-41
311,CO_nonalt-ethylene,2,0.1,19,17,2,8.5,58,3,174,OS(C1=C([Si](C2=CC=CC=C2)(C)C3=CC=CC=C3)C=CC=C1P([C@@H]4C[C@H](C)CC[C@H]4C(C)C)[C@@H]5C[C@H](C)CC[C@H]5C(C)C)(=O)=O,p-o-120
95,CO_nonalt-ethylene,0,0,19,17,2,8.5,58,3,174,OC(C(C(C1=CC(C(C)(C)C)=CC(C(C)(C)C)=C1)=CC=C2)=C2C=C3)=C3P(C4=C(OC)C=CC=C4OC)C5=C(OC)C=CC=C5OC,p-o-21
376,CO_nonalt-ethylene,0,0,19,17,2,8.5,58,3,174,CC1=CC(C)=CC(C)=C1N2CN3C(C=CC=C3S(O)(=O)=O)=C2,c-o-12
370,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,CC(/C(C)=N/C1=C(CC2=CC=CC=C2)C=C(O)C=C1CC3=CC=CC=C3)=N\C4=C(C(C5=CC=CC=C5)C6=CC=CC=C6)C=C(O)C=C4C(C7=CC=CC=C7)C8=CC=CC=C8.CC9=CC=CC=C9.CC%10=CC=CC=C%10,n-n-70
280,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(P(C4CCCCC4)C5CCCCC5)SC6=C3C=CC=C6,p-o-87
340,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,OS(C1=CC(C)=CC=C1CP(C2CCCCC2)C3CCCCC3)(=O)=O,p-o-125
462,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(C(C)(C)C)C=C3)P(C4=CC=CC=C4C5=C(OC)C=CC=C5OC)C6=CC=CC=C6,p-o-159
137,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,O=P(OCC)(OCC)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=CC=CC=C3OC,p-o-40
303,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,O=S(C1=CC=CC=C1P2N(C3=C([H])C=C([H])C=C3OC)CCN2C4=C(OC)C=C([H])C=C4[H])(O)=O,p-o-115
411,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,O=P(N(C(C)C)C(C)C)(C1=CC=CC=C1)C2=CC=CC=C2P(OC3=CC=C(OC)C=C3)OC4=CC=C(OC)C=C4,p-o-95
39,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,CC1=CC(C)=CC(C)=C1N(C2)C3=C(C=CC=C3)N2CP(C4CCCCC4)C5CCCCC5,p-o-3
293,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(C2=C(F)C=CC=C2F)C3=C(F)C=CC=C3F,p-o-105
285,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,O=P(OCC)(OCC)C1=CC=C(C)C=C1P(C2=CC=C(C(C)(C)C)C=C2)C3=CC(C)=CC=C3P(OCC)(OCC)=O,p-o-93
184,CO_nonalt-ethylene,0,0,0,17,2,8.5,58,3,174,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=C(F)C=CC=C3F)/C=N/C4=CC=CC=C4,n-o-35
122,CO_nonalt-ethylene,9,0.290322581,228,4,2,2,39,3,117,[O]C1=CC=CC2=C1N3C(C=C2)=CN(C4=C(C(C)C)C=C([H])C=C4C(C)C)C3,c-o-1
258,CO_nonalt-ethylene,10,0.357142857,171,4,2,2,39,3,117,OC1=CC=CC2=C1C3=[N](C(C4=CC=CC=C4)=C2)C(C5=CC=CC=C5)[N](C6=C(C(CC)CC)C=CC=C6C(CC)CC)=C3,c-o-8
135,CO_nonalt-ethylene,8,0.333333333,95,4,2,2,39,3,117,CN(C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=C(C4=C(OC)C=CC=C4OC)C=CC=C3,p-n-8
132,CO_nonalt-ethylene,8,0.333333333,95,4,2,2,39,3,117,CN(C)C1=CC=CC=C1P(C2=C(C(C)C)C=CC=C2)C3=C(C(C)C)C=CC=C3,p-n-5
