lig_node,rxn_node,common_neighbor,jaccard_coefficient,preferential_attachment,common_neighbor_cluster,number of lig in cluster,jaccard_coefficient_cluster,degree_lig_cluster,degree_rxn,preferential_attachment_cluster,SMILES,ligand_name
250,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(N1C=CN(C2=C(C(C)C)C=CC=C2C(C)C)C1)(C(C)(C)C)C(C)(C)C,c-o-6
455,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,CC(/C(C)=N/C1=C(C2=CC=C(C(C)(C)C)C=C2)C=CC=C1C3=CC=C(C(C)(C)C)C=C3)=N\C4=C(C5=CC=C(C(C)(C)C)C=C5)C=CC=C4C6=CC=C(C(C)(C)C)C=C6,n-n-22
290,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=P(N(C)C)(N(C)C)C1=CC=CC=C1P(C2=C(OC)C=CC=C2)C3=C(OC)C=CC=C3,p-o-102
262,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C(C)(C)C)(C(C)(C)C)CP(C1=C(C(F)(F)F)C=CC=C1)C2=CC=CC=C2C(F)(F)F,p-o-73
274,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C(C)(C)C)(C(C)(C)C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-83
279,CO_alt-ethylene,0,0.0,8,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=C(P(C4=CC=CC=C4OC)C5=CC=CC=C5OC)SC6=C3C=CC=C6,p-o-86
266,CO_alt-ethylene,0,0.0,6,0,2,0.0,58,1,58,O=P(C)(C)CP(C1=C(C)C=C(C)C=C1C)C2=C(C)C=C(C)C=C2C,p-o-75
311,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,OS(C1=C([Si](C2=CC=CC=C2)(C)C3=CC=CC=C3)C=CC=C1P([C@@H]4C[C@H](C)CC[C@H]4C(C)C)[C@@H]5C[C@H](C)CC[C@H]5C(C)C)(=O)=O,p-o-120
351,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,OS(C1=CC=CC=C1P(C2=C(C3=CC=CN3C)C=CC=C2)C4=CC=CC=C4)(=O)=O,p-o-130
466,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(N(C)C)C=C3)P(C4=CC=CC=C4OC)C5=C(OC)C=CC=C5,p-o-163
408,CO_alt-ethylene,0,0.0,8,0,2,0.0,58,1,58,OS(C1=CC=CC=C1P(C2=C(OCCOCCOC)C=CC=C2)C3=C(OCCOCCOC)C=CC=C3)(=O)=O,p-o-139
462,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=C(C(C)(C)C)C=C3)P(C4=CC=CC=C4C5=C(OC)C=CC=C5OC)C6=CC=CC=C6,p-o-159
242,CO_alt-ethylene,0,0.0,9,0,2,0.0,58,1,58,OC1=C(/N=C2N(C3=C(C(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C3C(C6=CC=CC=C6)C7=CC=CC=C7)C=CN\2C8=C(C(C9=CC=CC=C9)C%10=CC=CC=C%10)C=CC=C8C(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=CC=C1,n-o-79
340,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,OS(C1=CC(C)=CC=C1CP(C2CCCCC2)C3CCCCC3)(=O)=O,p-o-125
278,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,BrC1=CSC(P(C2=CC=CC=C2OC)C3=CC=CC=C3OC)=C1P(C4=CC=CC=C4)(C5=CC=CC=C5)=O,p-o-85
87,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=S(C1=C([H])C=CC=C1P(C2=CC=CC=C2C3=C(OC)C=CC=C3OC)C(C)(C)C)(O)=O,p-o-13
355,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=P(C(C)C)(C(C)C)N(C1=CC=CC=C1)P(C2=CC=CC=C2)C3=CC=CC=C3C4=C(OC)C=CC=C4OC,p-o-133
392,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P(C2=CC=CC=C2OC)C3=C(OC)C=CC=C3)(NC4=CC=CC=C4)=O,p-o-135
407,CO_alt-ethylene,0,0.0,7,0,2,0.0,58,1,58,OS(C1=CC=CC=C1P(C2=C(OCCOC)C=CC=C2)C3=C(OCCOC)C=CC=C3)(=O)=O,p-o-138
263,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(C(C)(C)C)(C(C)(C)C)CP(C(C)C)C(C)C,p-o-74
289,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,p-o-101
95,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,OC(C(C(C1=CC(C(C)(C)C)=CC(C(C)(C)C)=C1)=CC=C2)=C2C=C3)=C3P(C4=C(OC)C=CC=C4OC)C5=C(OC)C=CC=C5OC,p-o-21
100,CO_alt-ethylene,0,0.0,6,0,2,0.0,58,1,58,O=P(C)(C)CP(C(C)(C)C)C(C)(C)C,p-o-26
244,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=P(N(C(C)C)C(C)C)(C1=CC=CC=C1)C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4,p-o-64
304,CO_alt-ethylene,0,0.0,1,0,2,0.0,58,1,58,O=S(C1=CC=CC=C1P2N(C3=C(C)C=C(C)C=C3C)CCN2C4=C(C)C=C(C)C=C4C)(O)=O,p-o-116
282,CO_alt-ethylene,0,0.0,3,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3P(C4=C(OC)C=CC=C4)C5=C(OC)C=CC=C5,p-o-89
89,CO_alt-ethylene,0,0.0,5,0,2,0.0,58,1,58,O=P(C1=CC=CC=C1)(C2=CC=CC=C2)N(C3=CC=CC=C3)P(C4=CC=CC=C4OC)C5=CC=CC=C5OC,p-o-15
260,CO_alt-ethylene,0,0.0,6,0,2,0.0,58,1,58,OC1=C(C2=C(C)C=C(C)C=C2C)C=CC3=C1N4C(C=C3)=CN(C5=C(C(C)C)C=CC=C5C(C)C)C4,c-o-10
411,CO_alt-ethylene,0,0.0,4,0,2,0.0,58,1,58,O=P(N(C(C)C)C(C)C)(C1=CC=CC=C1)C2=CC=CC=C2P(OC3=CC=C(OC)C=C3)OC4=CC=C(OC)C=C4,p-o-95
