Filename,Pd_atom label,Methyl_atom_1 label,Methyl_atom_2 label,Hydrogens_methyl_1_label,Hydrogens_methyl_2_label,Ligand_atom_1 label,Ligand_atom_2 label,Atoms_distance_2 label,Atoms_distance_3 label,Atoms_distance_4 label,Atoms_distance_2_a label,Atoms_distance_3_a label,Atoms_distance_4_a label,Atoms_distance_2_b label,Atoms_distance_3_b label,Atoms_distance_4_b label,Atom label shortest paths
ligand-240-n-o-77,8,13,9,"[15, 14, 18]","[12, 11, 10]",1,7,"[2, 4, 22]","[3, 16, 27, 28]","[5, 6, 37, 17, 19, 23, 24, 29]","[2, 22]","[3, 4, 27, 28]","[5, 6, 37, 16, 23, 24, 29]",[4],"[16, 2]","[3, 17, 19]","[8, 1, 2, 4, 7]"
ligand-241-n-o-78,8,13,9,"[18, 15, 14]","[10, 11, 12]",1,7,"[2, 4, 22]","[3, 16, 27, 28]","[5, 6, 37, 17, 19, 23, 24, 29]","[2, 22]","[3, 4, 27, 28]","[5, 6, 37, 16, 23, 24, 29]",[4],"[16, 2]","[3, 17, 19]","[8, 1, 2, 4, 7]"
ligand-242-n-o-79,8,13,9,"[15, 18, 14]","[10, 12, 11]",1,7,"[2, 4, 22]","[3, 16, 27, 28]","[5, 6, 37, 17, 19, 23, 24, 29]","[2, 22]","[3, 4, 27, 28]","[5, 6, 37, 16, 23, 24, 29]",[4],"[16, 2]","[3, 17, 19]","[8, 1, 2, 4, 7]"
ligand-243-p-o-63,2,3,7,"[4, 5, 6]","[10, 9, 8]",1,12,"[40, 11, 13, 23]","[66, 39, 42, 14, 15, 51, 24, 25]","[16, 17, 18, 26, 27, 28, 33, 41, 45, 46, 49, 50, 52, 67, 68]","[13, 23, 40]","[39, 42, 14, 15, 24, 25]","[41, 11, 45, 46, 16, 17, 18, 50, 49, 26, 27, 28]",[11],"[66, 51, 39]","[33, 67, 68, 40, 41, 52]","[2, 1, 40, 39, 11, 12]"
ligand-244-p-o-64,2,3,7,"[4, 5, 6]","[10, 9, 8]",1,12,"[72, 11, 20, 55]","[73, 74, 75, 44, 19, 22, 56, 57, 58, 29]","[13, 21, 25, 26, 30, 45, 46, 59, 60, 61, 62, 63, 64, 76, 77, 78, 79, 80, 81]","[20, 55, 72]","[73, 74, 75, 19, 22, 56, 57, 58]","[11, 21, 25, 26, 59, 60, 61, 62, 63, 64, 76, 77, 78, 79, 80, 81]",[11],"[19, 29, 44]","[13, 45, 46, 20, 21, 30]","[2, 1, 20, 19, 11, 12]"
ligand-245-p-o-65,2,3,7,"[6, 5, 4]","[9, 10, 8]",1,12,"[66, 11, 20, 55]","[67, 68, 44, 19, 22, 56, 57, 29]","[13, 21, 25, 26, 30, 45, 46, 58, 59, 60, 61, 69, 70, 71, 76]","[20, 55, 66]","[67, 68, 19, 22, 56, 57]","[58, 69, 70, 71, 11, 76, 21, 25, 26, 59, 60, 61]",[11],"[19, 29, 44]","[13, 45, 46, 20, 21, 30]","[2, 1, 20, 19, 11, 12]"
ligand-246-c-n-8,1,43,47,"[45, 46, 44]","[49, 48, 50]",2,52,"[26, 53, 6, 7]","[3, 4, 8, 54, 55, 56, 25]","[5, 9, 10, 51, 21, 22, 57, 58]","[6, 7]","[3, 4, 8, 26]","[5, 9, 10, 21, 25]","[26, 53]","[7, 54, 55, 56, 25]","[4, 58, 51, 22, 57]","[1, 2, 7, 26, 52]"
ligand-247-c-n-9,1,43,47,"[45, 44, 46]","[48, 49, 50]",2,52,"[26, 53, 6, 7]","[3, 4, 8, 54, 55, 56, 25]","[5, 9, 10, 51, 21, 22, 57, 58, 59]","[6, 7]","[3, 4, 8, 26]","[5, 9, 10, 21, 25]","[26, 53]","[7, 54, 55, 56, 25]","[4, 58, 51, 22, 57, 59]","[1, 2, 7, 26, 52]"
ligand-248-c-o-4,1,43,47,"[44, 46, 45]","[48, 50, 49]",2,55,"[51, 6, 7]","[3, 4, 8, 52, 53, 26]","[64, 5, 68, 9, 10, 72, 76, 21, 56, 25, 60]","[6, 7]","[3, 4, 8, 26]","[5, 9, 10, 51, 21, 25]",[51],"[26, 52, 53]","[64, 68, 7, 72, 76, 56, 25, 60]","[1, 2, 7, 26, 51, 55]"
ligand-249-c-o-5,1,22,26,"[25, 24, 23]","[29, 27, 28]",2,34,"[30, 6, 7]","[32, 3, 4, 8, 21, 31]","[5, 67, 9, 10, 71, 75, 79, 16, 83, 20, 87]","[6, 7]","[3, 4, 8, 21]","[5, 9, 10, 16, 20, 30]",[30],"[32, 21, 31]","[67, 7, 71, 75, 79, 83, 20, 87]","[1, 2, 7, 21, 30, 34]"
ligand-250-c-o-6,1,37,41,"[40, 38, 39]","[42, 44, 43]",2,48,"[45, 6, 7]","[3, 4, 8, 46, 47]","[66, 5, 70, 9, 10, 49, 50, 54, 58, 62]","[6, 7]","[3, 4, 8, 45]","[5, 9, 10, 46, 47, 49]",[45],"[47, 46, 7]","[66, 4, 70, 50, 54, 58, 62]","[1, 2, 7, 45, 48]"
ligand-251-p-o-66,16,41,37,"[42, 43, 44]","[38, 39, 40]",1,5,"[17, 2, 19, 4]","[33, 3, 6, 7, 11, 18, 20, 21, 25, 29]","[8, 10, 15, 22, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 36]","[2, 17, 19]","[33, 3, 11, 18, 20, 21, 25, 29]","[4, 8, 10, 15, 22, 23, 24, 26, 27, 28, 30, 31, 32, 34, 35, 36]",[4],"[3, 6, 7]","[8, 2]","[16, 1, 2, 3, 4, 5]"
ligand-252-p-o-67,16,39,35,"[41, 40, 42]","[37, 36, 38]",1,5,"[17, 2, 18, 4]","[3, 6, 7, 43, 11, 47, 19, 23, 27, 31]","[8, 10, 15, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 44, 45, 46, 48, 49, 50]","[2, 17, 18]","[3, 11, 43, 47, 19, 23, 27, 31]","[4, 8, 10, 15, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 44, 45, 46, 48, 49, 50]",[4],"[3, 6, 7]","[8, 2]","[16, 1, 2, 3, 4, 5]"
ligand-253-p-o-68,16,29,25,"[30, 31, 32]","[26, 28, 27]",1,5,"[17, 2, 18, 4]","[33, 3, 36, 6, 7, 11, 47, 48, 19, 22]","[8, 10, 15, 20, 21, 23, 24, 34, 35, 37, 38, 39, 43, 49, 53]","[2, 17, 18]","[33, 3, 36, 11, 47, 48, 19, 22]","[4, 8, 10, 15, 20, 21, 23, 24, 34, 35, 37, 38, 39, 43, 49, 53]",[4],"[3, 6, 7]","[8, 2]","[16, 1, 2, 3, 4, 5]"
ligand-254-p-o-69,16,25,29,"[26, 27, 28]","[31, 30, 32]",1,5,"[17, 2, 18, 4]","[33, 3, 36, 6, 7, 43, 11, 44, 19, 22]","[8, 10, 15, 20, 21, 23, 24, 34, 35, 37, 38, 39, 41, 45, 47]","[2, 17, 18]","[33, 3, 36, 11, 43, 44, 19, 22]","[4, 8, 10, 15, 20, 21, 23, 24, 34, 35, 37, 38, 39, 41, 45, 47]",[4],"[3, 6, 7]","[8, 2]","[16, 1, 2, 3, 4, 5]"
ligand-255-p-o-70,16,50,46,"[53, 51, 52]","[48, 47, 49]",1,5,"[32, 17, 2, 4]","[34, 35, 33, 3, 6, 7, 11, 18, 19, 20]","[8, 10, 15, 21, 22, 23, 24, 25, 36, 37, 38, 39, 40, 54, 64]","[2, 17, 32]","[33, 3, 34, 35, 11, 18, 19, 20]","[4, 8, 10, 15, 21, 22, 23, 24, 25, 36, 37, 38, 39, 40, 54, 64]",[4],"[3, 6, 7]","[8, 2]","[16, 1, 2, 3, 4, 5]"
ligand-256-p-o-71,36,37,41,"[39, 38, 40]","[44, 42, 43]",1,5,"[8, 9, 2, 4]","[3, 6, 7, 13, 18, 22, 27, 31]","[35, 10, 12, 45, 17, 19, 21, 54, 23, 28, 30]","[2, 8, 9]","[3, 13, 18, 22, 27, 31]","[35, 4, 10, 12, 45, 17, 19, 21, 54, 23, 28, 30]",[4],"[3, 6, 7]","[2, 10]","[36, 1, 2, 3, 4, 5]"
ligand-257-c-o-7,1,46,50,"[47, 49, 48]","[52, 53, 51]",2,54,"[25, 4, 55]","[3, 5, 23, 56, 27]","[68, 6, 7, 18, 21, 26, 28]","[4, 55]","[3, 5, 23, 56]","[68, 6, 7, 18, 21, 25]",[25],"[27, 23]","[21, 55, 26, 28]","[1, 2, 55, 23, 25, 54]"
ligand-258-c-o-8,1,46,42,"[48, 47, 49]","[43, 44, 45]",2,50,"[25, 51, 4]","[3, 5, 52, 23, 27]","[64, 6, 7, 18, 21, 26, 28]","[4, 51]","[3, 5, 52, 23]","[64, 6, 7, 18, 21, 25]",[25],"[27, 23]","[51, 21, 26, 28]","[1, 2, 51, 23, 25, 50]"
